Player,Team,AVG,GP-GS,GP,GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"T. McMahon, SWOSU ",SWOSU ,0.189,23-15 ,23,15 ,37,8,7,0,0,0,3,7,0.189,4,0,6,0,0.268,0,4,0-0 
"R. Gillis, OUA ",OUA ,0.189,28-22 ,28,22 ,53,6,10,1,0,0,5,11,0.208,2,1,8,0,0.232,0,3,0-0 
"Shirey, OKB ",OKB ,0.183,44-33 ,44,33 ,82,9,15,2,0,0,10,17,0.207,7,2,19,0,0.261,1,4,2-2 
"E. Reed, OUA ",OUA ,0.182,29-16 ,29,16 ,44,8,8,3,0,1,5,14,0.318,9,0,10,0,0.321,0,1,0-1 
"Kaylyn Aguirre, ATU ",ATU ,0.176,34-24 ,34,24 ,68,15,12,1,0,0,6,13,0.191,4,0,12,0,0.222,0,1,5-6 
"Johnson, OKB ",OKB ,0.176,25-0 ,25,0 ,17,7,3,0,0,0,0,3,0.176,3,1,4,0,0.333,0,0,2-2 
"S. Mershon, SWOSU ",SWOSU ,0.175,26-23 ,26,23 ,57,6,10,5,0,1,7,18,0.316,11,2,16,0,0.319,2,0,0-0 
"O. See, OUA ",OUA ,0.171,20-13 ,20,13 ,35,6,6,0,0,0,2,6,0.171,1,0,7,0,0.194,0,1,2-3 
"K. Burrow, OUA ",OUA ,0.169,25-20 ,25,20 ,59,4,10,5,1,0,10,17,0.288,3,1,17,1,0.222,0,1,0-0 
"K. Wilkie, OUA ",OUA ,0.167,36-32 ,36,32 ,78,6,13,2,0,0,7,15,0.192,4,2,13,0,0.226,0,0,0-0 
"Mag.Huddlest, OUA ",OUA ,0.167,19-11 ,19,11 ,36,5,6,3,0,1,3,12,0.333,2,0,9,0,0.205,1,0,2-3 
"K. Kauffman, HSU ",HSU ,0.167,10-3 ,10,3 ,12,2,2,1,0,0,3,3,0.25,2,1,7,0,0.333,0,0,0-0 
"M. Baldwin, SAU ",SAU ,0.163,20-16 ,20,16 ,43,5,7,2,0,0,4,9,0.209,8,1,19,1,0.302,1,0,0-0 
"Flemming, Brooklyn, ECU ","Brooklyn, ECU ",0.158,23-13 ,23,13 ,38,6,6,1,0,1,3,10,0.263,6,0,6,0,0.267,1,1,0-0 
"Ford, OKB ",OKB ,0.154,15-4 ,15,4 ,13,4,2,0,0,0,0,2,0.154,3,0,3,0,0.313,0,0,3-4 
"K. Morgan, SOSU ",SOSU ,0.152,21-9 ,21,9 ,33,3,5,0,0,0,3,5,0.152,3,0,10,0,0.222,0,0,0-0 
"E. Cecil, UAM ",UAM ,0.147,21-10 ,21,10 ,34,2,5,0,0,1,3,8,0.235,1,0,8,0,0.171,0,1,2-3 
"M. Gardiner, UAM ",UAM ,0.145,26-23 ,26,23 ,62,1,9,1,0,0,9,10,0.161,3,1,20,2,0.197,0,1,0-0 
"K. Pierce, HU ",HU ,0.143,18-2 ,18,2 ,14,2,2,0,0,0,4,2,0.143,2,1,3,0,0.278,1,0,1-1 
"K. Johnston, HSU ",HSU ,0.143,30-2 ,30,2 ,14,6,2,1,0,1,2,6,0.429,0,0,8,0,0.143,0,0,2-3 
"Morrow, OKB ",OKB ,0.133,41-30 ,41,30 ,75,6,10,3,0,0,12,13,0.173,11,4,17,3,0.275,1,2,2-2 
"H. Johnson, OUA ",OUA ,0.13,17-16 ,17,16 ,23,6,3,1,0,1,3,7,0.304,5,0,13,0,0.286,0,2,2-2 
"E. Zaboronek, HU ",HU ,0.125,13-0 ,13,0 ,8,2,1,1,0,0,0,2,0.25,1,0,2,0,0.222,0,0,2-2 
"Cora Skaggs, ATU ",ATU ,0.125,38-1 ,38,1 ,8,11,1,0,0,0,1,1,0.125,1,0,3,0,0.222,0,1,2-2 
"E. McCorkle, OUA ",OUA ,0.111,31-18 ,31,18 ,27,7,3,1,0,0,1,4,0.148,2,0,9,0,0.172,0,1,2-2 
"B. Groom, UAM ",UAM ,0.111,12-2 ,12,2 ,18,1,2,0,0,1,1,5,0.278,0,0,8,0,0.111,0,0,0-0 
"C. Jones, SWOSU ",SWOSU ,0.105,25-16 ,25,16 ,38,2,4,1,0,0,3,5,0.132,5,0,9,0,0.205,1,1,1-1 
"Bradi Basler, ATU ",ATU ,0.1,5-4 ,5,4 ,10,0,1,0,0,0,2,1,0.1,3,0,5,0,0.308,0,0,0-0 
"Duncan, Cara, ECU ","Cara, ECU ",0.095,15-3 ,15,3 ,21,0,2,0,0,0,1,2,0.095,0,0,7,0,0.095,0,0,0-0 
"H. Morales, SNU ",SNU ,0.091,7-3 ,7,3 ,11,1,1,0,0,0,1,1,0.091,1,1,5,0,0.231,0,0,0-0 
"Zoe Lott, ATU ",ATU ,0.077,30-2 ,30,2 ,13,5,1,0,0,0,0,1,0.077,2,0,5,0,0.2,0,0,2-2 
"S. Farris, NWOSU ",NWOSU ,0.077,10-5 ,10,5 ,13,0,1,0,0,0,0,1,0.077,0,0,8,0,0.077,0,0,0-0 
"B. Reed, SAU ",SAU ,0.071,23-4 ,23,4 ,14,4,1,0,0,1,1,4,0.286,1,0,7,0,0.133,0,0,3-3 
"K.Fomby-Bell, OUA ",OUA ,0.056,22-10 ,22,10 ,18,5,1,0,0,0,0,1,0.056,0,0,13,0,0.056,0,0,1-1 
"S. Clark, NWOSU ",NWOSU ,0,4-1 ,4,1 ,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0-0 
"A. Reams, OUA ",OUA ,0,10-6 ,10,6 ,6,3,0,0,0,0,0,0,0,1,0,4,0,0.143,0,1,0-0 
"J. Jones, HSU ",HSU ,0,5-1 ,5,1 ,6,0,0,0,0,0,0,0,0,0,1,2,0,0.143,0,0,0-0 
"K. Richardso, UAM ",UAM ,0,37-1 ,37,1 ,5,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4-4 
"Lauren Blankenship, ATU ",ATU ,0,16-1 ,16,1 ,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0-0 
"D. Raile, NWOSU ",NWOSU ,0,16-0 ,16,0 ,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1-1 
"K. Rodriguez, SOSU ",SOSU ,0,26-3 ,26,3 ,4,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5-7 
"G. Stanley, SNU ",SNU ,0,18-0 ,18,0 ,4,6,0,0,0,0,0,0,0,1,0,1,0,0.2,0,0,2-2 
"Bonehill, OKB ",OKB ,0,6-0 ,6,0 ,4,0,0,0,0,0,0,0,0,1,0,3,0,0.2,0,0,0-0 
"Demi Lindsey, SAU ",SAU ,0,9-1 ,9,1 ,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0 
"Kate Faber, SAU ",SAU ,0,4-0 ,4,0 ,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0 
"C. Delaney, SWOSU ",SWOSU ,0,4-1 ,4,1 ,4,0,0,0,0,0,0,0,0,1,0,3,0,0.2,0,0,0-0 
"H. Hunter, OUA ",OUA ,0,3-3 ,3,3 ,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0 
"E. Love, OUA ",OUA ,0,7-3 ,7,3 ,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0 
"M. Denofrio, HSU ",HSU ,0,7-2 ,7,2 ,3,0,0,0,0,0,0,0,0,1,0,1,0,0.25,0,0,0-0 
"J. Holland, HSU ",HSU ,0,19-4 ,19,4 ,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0 
"L. Wincheste, SOSU ",SOSU ,0,3-0 ,3,0 ,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0 
"L. Spoon, UAM ",UAM ,0,1-0 ,1,0 ,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"M. Amaya, OUA ",OUA ,0,24-2 ,24,2 ,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2-3 
"K. Morton, SWOSU ",SWOSU ,0,3-2 ,3,2 ,3,0,0,0,0,0,0,0,0,2,0,0,0,0.4,0,0,0-0 
